station_id,name,alternative-fr,alternative-nl,alternative-de,alternative-en,country-code,longitude,latitude,avg_stop_times,official_transfer_time
8400526,Roosendaal,,,,,nl,4.458692,51.540834,33,300
8400530,Rotterdam CS,,,,,nl,4.5,51.916667,32.30597,300
8728673,Roubaix,,,,,fr,3.166666,50.699997,29.597015,300
8871217,Roux,,,,,be,4.393199,50.443112,102.895522,300
8814365,Ruisbroek,,,,,be,4.295333,50.79183,223.395522,300
8822848,Ruisbroek-Sauvegarde,,,,,be,4.324998,51.081022,55.753731,300
8861432,Saint-Denis-Bovesse,,,,,be,4.767788,50.5213,130.11194,300
8884004,Saint-Ghislain,,,,,be,3.820253,50.44286,107.11194,300
8718213,Saint-Louis-Haut-Rhin,,,,,fr,7.555316,47.5907,0,
8775752,Saint-Raphaël-Valescure,,,,,fr,6.768825,43.423456,0.014925,300
8864956,Sart-Bernard,,,,,be,4.949739,50.406373,75.626866,300
8721222,Saverne,,,,,fr,7.362255,48.744798,0,
8811007,Schaarbeek/Schaerbeek,Schaerbeek,Schaarbeek,,,be,4.378636,50.878513,737.231343,300
8893070,Scheldewindeke,,,,,be,3.777842,50.937069,42.328358,300
8824232,Schelle,,,,,be,4.340261,51.12551,56.455224,300
8893542,Schellebelle,,,,,be,3.921373,51.003149,139.514925,120
8895711,Schendelbeke,,,,,be,3.899286,50.797844,47.537313,300
8400561,Schiphol,,,,,nl,4.75,52.3,26.208955,300
8893526,Schoonaarde,,,,,be,4.011094,51.003149,64.977612,300
8831088,Schulen,,,,,be,5.187405,50.963758,106.08209,300
8863446,Sclaigneaux,,,,,be,5.026363,50.492247,88.313433,300
8843133,Sclessin,,,,,be,5.558911,50.609844,86.067164,300
8721405,Selestat,,,,,fr,7.449999,48.26667,0,
8843067,Seraing,,,,,be,5.513777,50.6089,34.440299,300
8893583,Serskamp,,,,,be,3.959361,50.984397,74.537313,300
8015588,Siegburg,,,,,de,7.203029,50.793916,0.029851,300
8883436,Silly,,Opzullik,,,be,3.935863,50.662386,66.104478,300
8812013,Simonis,,,,,be,4.32898,50.863645,37.447761,300
8894425,Sinaai,,,,,be,4.06894,51.143398,174.895522,300
8812211,Sint-Agatha-Berchem/Berchem-Sainte-Agathe,Berchem-Sainte-Agathe,Sint-Agatha-Berchem,,,be,4.289895,50.872625,55.597015,300
8892692,Sint-Denijs-Boekel,,,,,be,3.698395,50.874297,70.716418,300
8814167,Sint-Genesius-Rode,Rhode-Saint-Genèse,,Rhode-St.-Genese/st.-Genesius-Rode,St.-Genesius-Rode/rhode-St.-Genese,be,4.361997,50.74781,181.052239,300
8893443,Sint-Gillis-Dendermonde,Saint-Gilles-lez-Termonde,Sint-Gillis,Sint-Gillis,Sint-Gillis,be,4.117832,51.021693,90.977612,300
8814449,Sint-Job,Saint-Job,,Saint-Job / Sint-Job,Sint-Job / Saint-Job,be,4.362761,50.79441,127.313433,300
8833159,Sint-Joris-Weert,,,,,be,4.651728,50.800631,54.507463,300
8822228,Sint-Katelijne-Waver,Wavre-Sainte-Catherine,,,,be,4.496116,51.069975,283.701493,300
8821543,Sint-Mariaburg,,,,,be,4.4349,51.291658,82.380597,300
8812245,Sint-Martens-Bodegem,Bodeghem-Saint-Martin,,,,be,4.205081,50.86716,55.597015,300
8894508,Sint-Niklaas,Saint-Nicolas,,,,be,4.142966,51.171472,218.38806,240
8831807,Sint-Truiden,Saint-Trond,,,,be,5.176654,50.81762,39.156716,300
8893260,Sleidinge,,,,,be,3.667526,51.126607,33.119403,300
8883113,Soignies,,Zinnik,,,be,4.067519,50.572763,86.179104,240
8871662,Solre-sur-Sambre,,,,,be,4.158427,50.312642,32.641791,300
8844404,Spa,,,,,be,5.855096,50.490305,31.656716,300
8844420,Spa-Géronstère,,,,,be,5.866207,50.489307,31.656716,300
8843406,Statte,,,,,be,5.219676,50.528276,89.970149,300
8869054,Sterpenich-Frontiere,,,,,be,5.90415,49.64396,105.88806,120
8862018,Stockem,,,,,be,5.769115,49.690939,59.402985,300
8721202,Strasbourg,,Straatsburg,Straßburg,,fr,7.733905,48.585437,0.037313,300
8842853,Sy,,,,,be,5.523565,50.403254,30.843284,300
8777320,Sète,,,,,fr,3.696535,43.41281,0,
8874609,Tamines,,,,,be,4.608823,50.432235,142.201493,300
8894672,Temse,Tamise,,,,be,4.221352,51.126085,42.037313,300
8895448,Terhagen,,,,,be,3.896653,50.901643,70.820896,300
8812252,Ternat,,,,,be,4.16534,50.874522,61.492537,300
8833266,Testelt,,,,,be,4.945829,51.009864,107.037313,300
8844339,Theux,,,,,be,5.815031,50.536159,31.656716,300
8881455,Thieu,,,,,be,4.098523,50.46954,90.029851,300
8719100,Thionville,,,,,fr,6.166663,49.366663,0,
8871811,Thuin,,,,,be,4.288906,50.342738,32.641791,300
8884350,Thulin,,,,,be,3.744708,50.423335,32.768657,300
8815016,Thurn en Taxis/Tour et Taxis,Tour et Taxis,Thurn en Taxis,Tour et Taxis,Thurn en Taxis,be,4.341090918,50.87175168,37.447761,300
8821964,Tielen,,,,,be,4.893089,51.241021,56.08209,300
8892254,Tielt,,,,,be,3.330341,50.990842,37.365672,300
8833308,Tienen,Tirlemont,,Thienen,,be,4.92581,50.80802,110.574627,300
8842630,Tilff,,,,,be,5.583937,50.570624,53.350746,300
8872553,Tilly,,,,,be,4.552676,50.558084,33.686567,300
8895638,Tollembeek,,,,,be,3.992828,50.735522,42.014925,300
8831310,Tongeren,Tongres,,Tongern,,be,5.47328,50.784405,63.343284,300
8891314,Torhout,,,,,be,3.105871,51.064707,67.955224,300
8775500,Toulon,,,,,fr,5.9326648,43.1274781,0.014925,300
8728654,Tourcoing,,,,,fr,3.15,50.716667,44.820896,300
8885001,Tournai,,Doornik,,,be,3.396942,50.613134,167.238806,300
8845203,Trois-Ponts,,,,,be,5.873578,50.368214,26.664179,300
8200136,Troisvierges,,,,,lu,6.000281,50.121109,33.634328,180
8844271,Trooz,,,,,be,5.688346,50.573213,86.149254,300
8883808,Tubize,,Tubeke,,,be,4.205729,50.691708,162.276119,300
8821907,Turnhout,,,,,be,4.937415,51.322032,56.08209,300
8814134,Ukkel-Kalevoet/Uccle-Calevoet,Uccle-Calevoet,Ukkel-Kalevoet,,,be,4.332207,50.791749,123.947761,300
8814126,Ukkel-Stalle/Uccle-Stalle,Uccle-Stalle,Ukkel-Stalle,,,be,4.323901,50.802411,123.947761,300
8776302,Valence TGV,,,,,fr,4.9,44.93333,0.044776,300
8811270,Veltem,,,,,be,4.633516,50.900519,329.365672,300
8833050,Vertrijk,,,,,be,4.835522,50.836282,110.574627,300
8844008,Verviers-Central,,Verviers-Centraal,,,be,5.854917,50.588135,127.320896,240
8844057,Verviers-Palais,,Verviers-Paleis,,,be,5.865335,50.590921,82.746269,300
8892304,Veurne,Furnes,,,,be,2.66994,51.073867,37.156716,300
8895612,Viane-Moerbeke,,,,,be,3.917337,50.751981,42.014925,300
8896230,Vichte,,,,,be,3.39163,50.833657,68.059701,300
8845146,Vielsalm,,,,,be,5.909211,50.278933,23.507463,300
8895489,Vijfhuizen,,,,,be,3.98125,50.943254,7.731343,300
8884632,Ville-Pommerœul,,,,,be,3.724248,50.464542,66.597015,300
8872579,Villers-la-Ville,,,,,be,4.533349,50.578103,33.686567,300
