Stopping place,total_trains,total_delay_minutes,avg_delay_minutes,unique_trains,delays_above_5min,delays_above_15min,pct_delays_above_5min,pct_delays_above_15min,Unnamed: 0,Station,Avg number of travelers in the week,Avg number of travelers on Saturday,Avg number of travelers on Sunday,avg_weekday_travelers,delay_times_1000_travelers,betweenness_centrality
SINT-JORIS-WEERT,177,141.73,0.8,37,6.0,3.0,3.39,1.69,0.0,0,0.0,0.0,0.0,0.0,0.0,0.06025267249757046
SINT-KATELIJNE-WAVER,604,2081.45,3.45,128,117.0,25.0,19.37,4.14,0.0,0,0.0,0.0,0.0,0.0,0.0,0.3556851311953353
SINT-MARIABURG,180,565.97,3.14,37,32.0,5.0,17.78,2.78,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0913508260447036
SINT-MARTENS-BODEGEM,135,183.22,1.36,27,5.0,0.0,3.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.06608357628765792
SINT-NIKLAAS,349,442.25,1.27,70,20.0,1.0,5.73,0.29,0.0,0,0.0,0.0,0.0,0.0,0.0,0.14965986394557823
SINT-NIKLAAS-OOST,300,417.82,1.39,60,19.0,1.0,6.33,0.33,0.0,0,0.0,0.0,0.0,0.0,0.0,0.13119533527696792
SINT-TRUIDEN,118,267.42,2.27,24,17.0,0.0,14.41,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.05150631681243926
SLEIDINGE,80,107.02,1.34,16,6.0,0.0,7.5,0.0,455.0,SLEIDINGE,269.0,62.0,42.0,269.0,28.79,0.024295432458697766
SOIGNIES,211,733.92,3.48,45,42.0,2.0,19.91,0.95,456.0,SOIGNIES,2371.0,674.0,548.0,2371.0,1740.12,0.05830903790087463
SOLRE-SUR-SAMBRE,81,130.55,1.61,17,1.0,0.0,1.23,0.0,457.0,SOLRE-SUR-SAMBRE,77.0,30.0,26.0,77.0,10.05,0.011661807580174927
SPA,64,76.45,1.19,13,4.0,0.0,6.25,0.0,458.0,SPA,414.0,207.0,153.0,414.0,31.65,0.01652089407191448
SPA-GERONSTERE,30,20.97,0.7,6,0.0,0.0,0.0,0.0,459.0,SPA-GERONSTERE,382.0,172.0,124.0,382.0,8.01,0.012633624878522837
STATTE,192,502.07,2.61,39,31.0,5.0,16.15,2.6,472.0,STATTE,396.0,275.0,220.0,396.0,198.82,0.11758989310009718
STOCKEM,131,231.37,1.77,27,8.0,1.0,6.11,0.76,473.0,STOCKEM,26.0,6.0,10.0,26.0,6.02,0.03304178814382896
STOUMONT,70,162.83,2.33,14,10.0,2.0,14.29,2.86,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0184645286686103
SY,69,96.28,1.4,14,1.0,0.0,1.45,0.0,474.0,SY,49.0,12.0,12.0,49.0,4.72,0.025267249757045675
TAMINES,221,594.02,2.69,50,40.0,5.0,18.1,2.26,475.0,TAMINES,1606.0,364.0,365.0,1606.0,954.0,0.13022351797862003
TEMSE,91,348.22,3.83,20,22.0,2.0,24.18,2.2,476.0,TEMSE,674.0,237.0,201.0,674.0,234.7,0.014577259475218658
TERHAGEN,231,612.72,2.65,48,33.0,11.0,14.29,4.76,0.0,0,0.0,0.0,0.0,0.0,0.0,0.10301263362487852
TERNAT,134,132.28,0.99,27,4.0,0.0,2.99,0.0,478.0,TERNAT,984.0,241.0,176.0,984.0,130.16,0.05150631681243926
TESTELT,276,616.57,2.23,56,40.0,2.0,14.49,0.72,479.0,TESTELT,335.0,72.0,98.0,335.0,206.55,0.12342079689018465
THEUX,64,106.62,1.67,13,2.0,0.0,3.12,0.0,480.0,THEUX,141.0,55.0,38.0,141.0,15.03,0.0058309037900874635
THIEU,186,331.1,1.78,38,23.0,6.0,12.37,3.23,481.0,THIEU,99.0,19.0,25.0,99.0,32.78,0.1010689990281827
THUIN,82,124.27,1.52,17,4.0,0.0,4.88,0.0,482.0,THUIN,259.0,61.0,54.0,259.0,32.19,0.0184645286686103
THULIN,73,195.53,2.68,15,11.0,0.0,15.07,0.0,483.0,THULIN,127.0,53.0,52.0,127.0,24.83,0.027210884353741496
THURN EN TAXIS,60,229.1,3.82,12,17.0,1.0,28.33,1.67,0.0,0,0.0,0.0,0.0,0.0,0.0,0.021379980563654033
TIELEN,114,282.23,2.48,24,16.0,4.0,14.04,3.51,484.0,TIELEN,675.0,327.0,441.0,675.0,190.51,0.038872691933916424
TIELT,89,409.42,4.6,21,18.0,5.0,20.22,5.62,485.0,TIELT,956.0,397.0,514.0,956.0,391.41,0.03206997084548105
TIENEN,320,1066.13,3.33,68,74.0,4.0,23.12,1.25,486.0,TIENEN,3963.0,1692.0,1135.0,3963.0,4225.07,0.1554907677356657
TILFF,139,302.77,2.18,28,17.0,2.0,12.23,1.44,487.0,TILFF,124.0,27.0,41.0,124.0,37.54,0.0456754130223518
TILLEUR,198,368.57,1.86,40,21.0,1.0,10.61,0.51,0.0,0,0.0,0.0,0.0,0.0,0.0,0.10884353741496598
