Stopping place,total_trains,total_delay_minutes,avg_delay_minutes,unique_trains,delays_above_5min,delays_above_15min,pct_delays_above_5min,pct_delays_above_15min,Unnamed: 0,Station,Avg number of travelers in the week,Avg number of travelers on Saturday,Avg number of travelers on Sunday,avg_weekday_travelers,delay_times_1000_travelers,degree_centrality,bottleneck_score,bottleneck_rank
VIANE-MOERBEKE,142,290.585,4.09,29,18.0,4.0,12.68,6.34,505.0,VIANE-MOERBEKE,429,68,66,429,249.32,0.0494148244473342,1.025042777297312,94.0
VICHTE,94,121.71,2.59,24,5.0,2.0,5.32,3.19,0.0,VICHTE,236,70,59,236,57.45,0.015604681404421327,-1.29714810845313,364.0
VIELSALM,75,98.175,2.62,15,6.0,1.0,8.0,2.67,507.0,VIELSALM,219,114,173,219,43.0,0.025357607282184655,-0.8718564451955544,301.0
VIJFHUIZEN,53,22.02,0.42,11,0.0,0.0,0.0,0.0,0.0,VIJFHUIZEN,44,13,11,44,0.97,0.0039011703511053317,-2.8137524539491685,552.0
VILLE-POMMEROEUL,40,84.73,2.12,8,5.0,1.0,12.5,2.5,0.0,VILLE-POMMEROEUL,1000,300,250,1000,84.73,0.00975292587776333,-0.45441364023486586,251.0
VILLERS-LA-VILLE,89,51.56,1.16,20,2.0,0.0,2.25,0.0,510.0,VILLERS-LA-VILLE,274,47,52,274,28.25,0.04811443433029909,-1.6832111287635292,421.0
VILVOORDE,530,558.85,2.11,108,28.0,1.0,5.28,0.38,511.0,VILVOORDE,6196,2249,1671,6196,6925.27,0.26788036410923277,4.911053546262046,17.0
VIRTON,84,69.55,1.66,17,4.0,0.0,4.76,0.0,512.0,VIRTON,353,85,206,353,49.1,0.021456436931079324,-1.5093392315305567,395.0
VISE,105,88.025,1.68,21,4.0,2.0,3.81,2.86,513.0,VISE,821,242,201,821,144.54,0.02600780234070221,-1.4737051474740923,390.0
VIVILLE,80,38.325,0.96,18,0.0,0.0,0.0,0.0,515.0,VIVILLE,30,13,16,30,2.3,0.016254876462938883,-2.503589293923236,532.0
VOROUX,90,18.865,0.42,18,0.0,0.0,0.0,0.0,0.0,VOROUX,107,32,26,107,4.04,0.04031209362808843,-2.2393755137080804,507.0
VORST-OOST,139,170.8,2.46,28,8.0,2.0,5.76,2.16,0.0,VORST-OOST,508,152,127,508,173.53,0.055916775032509754,-0.43301208506082245,244.0
