Stopping place,total_trains,total_delay_minutes,avg_delay_minutes,unique_trains,delays_above_5min,delays_above_15min,pct_delays_above_5min,pct_delays_above_15min,Unnamed: 0,Station,Avg number of travelers in the week,Avg number of travelers on Saturday,Avg number of travelers on Sunday,avg_weekday_travelers,delay_times_1000_travelers,degree_centrality,bottleneck_score,bottleneck_rank
PECROT,177,93.71,1.06,37,2.0,2.0,1.13,1.69,411.0,PECROT,229,19,21,229,42.92,0.08066083576287658,-2.045177380252599,461.0
PEPINSTER,305,425.485,2.79,64,28.0,4.0,9.18,2.3,412.0,PEPINSTER,1799,385,375,1799,1530.9,0.13216715257531583,1.5642589255902002,84.0
PEPINSTER-CITE,64,65.81,2.06,13,5.0,0.0,7.81,0.0,413.0,PEPINSTER-CITE,55,16,18,55,7.24,0.008746355685131196,-1.5043099935757551,428.0
PERUWELZ,148,140.415,1.9,30,10.0,4.0,6.76,4.73,414.0,PERUWELZ,784,235,150,784,220.17,0.061224489795918366,-0.8323306853143558,332.0
PHILIPPEVILLE,61,41.525,1.36,13,2.0,0.0,3.28,0.0,415.0,PHILIPPEVILLE,372,59,82,372,30.89,0.021379980563654033,-2.593438715809811,518.0
PHILIPPEVILLE-642,61,21.64,0.71,13,2.0,0.0,3.28,0.0,0.0,PHILIPPEVILLE-642,1000,300,250,1000,43.28,0.01749271137026239,-2.659426880628569,523.0
PIETON,187,188.535,2.02,38,10.0,4.0,5.35,4.81,416.0,PIETON,130,33,14,130,49.02,0.09815354713313897,-0.630113337265756,302.0
POIX-SAINT-HUBERT,110,142.46,2.59,23,9.0,2.0,8.18,4.55,417.0,POIX-SAINT-HUBERT,21,30,37,21,5.98,0.05442176870748299,-0.6971846009626433,310.0
PONT-A-CELLES,70,31.34,0.9,14,1.0,0.0,1.43,0.0,418.0,PONT-A-CELLES,112,25,10,112,7.02,0.019436345966958212,-3.0552947250308264,549.0
PONT-DE-SERAING,198,185.16,1.87,40,12.0,0.0,6.06,0.51,419.0,PONT-DE-SERAING,239,17,27,239,88.51,0.07774538386783285,-0.5808609242477738,295.0
POPERINGE,39,19.3,0.99,8,0.0,0.0,0.0,0.0,420.0,POPERINGE,564,309,593,564,21.77,0.026239067055393587,-3.512376429396766,588.0
POULSEUR,139,164.61,2.37,28,8.0,1.0,5.76,1.44,421.0,POULSEUR,196,92,82,196,64.53,0.05442176870748299,-1.143844801420409,379.0
PROFONDSART,379,639.635,3.38,79,36.0,6.0,9.5,2.9,422.0,PROFONDSART,202,112,120,202,258.41,0.16229348882410108,2.551085160722748,58.0
PRY,73,31.465,0.86,16,2.0,0.0,2.74,0.0,0.0,PRY,1000,300,250,1000,62.93,0.02040816326530612,-2.702197466420809,530.0
PUURS,143,179.815,2.51,31,12.0,2.0,8.39,2.1,424.0,PUURS,1516,534,447,1516,545.2,0.06511175898931001,-0.3365541158505787,268.0
QUAREGNON,231,347.59,3.01,47,22.0,6.0,9.52,5.19,425.0,QUAREGNON,533,211,144,533,370.53,0.1000971817298348,0.9025751404522584,128.0
QUEVY,42,87.25,4.15,9,2.0,0.0,4.76,2.38,0.0,QUEVY,1000,300,250,1000,174.5,0.013605442176870748,-2.288028093987044,494.0
QUIEVRAIN,34,14.89,0.88,7,0.0,0.0,0.0,0.0,427.0,QUIEVRAIN,403,165,183,403,12.0,0.03012633624878523,-3.5087295815157784,586.0
REBAIX,79,115.185,2.92,16,6.0,1.0,7.59,2.53,428.0,REBAIX,106,19,12,106,24.42,0.028182701652089408,-1.2473159298108445,392.0
REMICOURT,158,148.3,1.88,34,8.0,2.0,5.06,2.53,429.0,REMICOURT,149,39,28,149,44.19,0.0369290573372206,-1.4140872731996919,420.0
RHISNES,287,417.925,2.91,59,26.0,6.0,9.06,3.83,430.0,RHISNES,234,40,34,234,195.59,0.13119533527696792,1.4058191190636735,94.0
RHISNES-SAS,287,426.985,2.98,59,27.0,6.0,9.41,3.83,0.0,RHISNES-SAS,1000,300,250,1000,853.97,0.13508260447035958,1.5567235072144654,86.0
RIVAGE,139,151.615,2.18,28,7.0,1.0,5.04,1.44,431.0,RIVAGE,164,53,63,164,49.73,0.047619047619047616,-1.4051546431112616,418.0
RIVAGE-MARCHANDISES,139,137.085,1.97,28,6.0,1.0,4.32,1.44,0.0,RIVAGE-MARCHANDISES,1000,300,250,1000,274.17,0.07774538386783285,-1.3514300222684983,411.0
RIXENSART,379,618.925,3.27,79,36.0,5.0,9.5,2.64,432.0,RIXENSART,1438,366,365,1438,1780.03,0.1827016520894072,2.722487861871061,55.0
ROCHEFORT-JEMELLE,116,151.19,2.61,25,10.0,2.0,8.62,4.31,433.0,ROCHEFORT-JEMELLE,647,277,402,647,195.64,0.07482993197278912,-0.36880843976703137,271.0
ROESELARE,147,294.3,4.0,31,10.0,3.0,6.8,4.08,434.0,ROESELARE,2787,882,1120,2787,1640.43,0.05928085519922255,-0.5533184171995371,293.0
RONET,215,254.775,2.37,48,18.0,2.0,8.37,1.86,435.0,RONET,47,8,8,47,23.95,0.0913508260447036,0.30587098717939964,196.0
